년월,고객ID,성별,연령대,가입일,해지일,요금제,단말기기종,상태,상태사유,신용등급,선택약정여부,요금제가격,월평균요금,데이터사용량(GB),가입자수
202504,CUST0028,M,40대,2022-04-24,0000-00-00,TVING 초이스 베이직,LG Wing,정상,사용중,5등급,N,90000,70628,12.9,1
202505,CUST0029,M,10대,2024-05-17,0000-00-00,왓챠 초이스 프리미엄,iPhone SE,정상,사용중,2등급,Y,130000,87408,55.4,1
202505,CUST0030,F,40대,2023-09-16,0000-00-00,유튜브 프리미엄 초이스 프리미엄,iPhone SE,정상,사용중,4등급,Y,130000,88594,42.2,1
202504,CUST0031,M,60대 이상,2021-11-18,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy A32,일시정지,일시적인 요금 부담,2등급,N,130000,85204,42.5,1
202505,CUST0032,F,50대,2024-03-20,0000-00-00,디즈니+ 초이스 스페셜,Galaxy A32,일시정지,사용 중단 예정,5등급,Y,110000,80998,39.7,1
202503,CUST0033,F,50대,2021-07-08,0000-00-00,디즈니+ 초이스 스페셜,Galaxy Z Flip5,일시정지,일시적인 요금 부담,2등급,Y,110000,82728,36.8,1
202503,CUST0034,F,10대,2020-08-20,0000-00-00,TVING 초이스 스페셜,iPhone 14,일시정지,단말기 분실,5등급,N,110000,80046,35.4,1
202503,CUST0035,F,30대,2023-03-28,0000-00-00,디즈니+ 초이스 프리미엄,LG Wing,정상,사용중,3등급,Y,130000,82169,53.7,1
202505,CUST0036,M,10대,2020-08-15,0000-00-00,유튜브 프리미엄 초이스 프리미엄,LG Wing,정상,사용중,2등급,N,130000,81427,42,1
202503,CUST0037,M,40대,2021-06-17,0000-00-00,넷플릭스 초이스 스페셜,Galaxy S22,정상,사용중,2등급,Y,110000,84400,37.5,1
202504,CUST0038,F,20대,2020-07-23,2022-12-25,지니 초이스 프리미엄,Galaxy A32,해지,서비스 품질 문제,2등급,N,130000,85757,55.5,0
202505,CUST0039,M,30대,2021-05-14,0000-00-00,지니 초이스 프리미엄,LG Wing,정상,사용중,1등급,Y,130000,88095,56.7,1
202505,CUST0040,F,30대,2024-09-26,0000-00-00,넷플릭스 초이스 베이직,Galaxy Z Flip5,일시정지,사용 중단 예정,1등급,Y,90000,66169,19.6,1
202504,CUST0041,M,20대,2022-09-28,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,일시정지,단말기 분실,5등급,Y,90000,64562,11.8,1
202505,CUST0042,M,40대,2021-08-16,0000-00-00,TVING 초이스 스페셜,iPhone SE,정상,사용중,1등급,Y,110000,85005,30.9,1
202505,CUST0043,M,10대,2022-07-30,2024-11-12,왓챠 초이스 베이직,iPhone SE,해지,단순 해지 요청,3등급,N,90000,65361,10.4,0
202503,CUST0044,F,40대,2022-03-09,0000-00-00,유튜브 프리미엄 초이스 스페셜,iPhone SE,일시정지,사용 중단 예정,2등급,N,110000,86330,34.1,1
202504,CUST0045,M,10대,2022-11-24,0000-00-00,왓챠 초이스 스페셜,Galaxy A32,일시정지,단말기 분실,2등급,N,110000,80078,34.4,1
202505,CUST0046,F,20대,2025-04-15,0000-00-00,디즈니+ 초이스 프리미엄,Galaxy S22,정상,사용중,1등급,Y,130000,83823,50.5,1
202505,CUST0047,F,30대,2021-10-07,0000-00-00,디즈니+ 초이스 베이직,Galaxy A32,일시정지,단말기 분실,2등급,N,90000,64437,17.4,1
202505,CUST0048,F,30대,2021-11-09,0000-00-00,TVING 초이스 스페셜,Galaxy Z Flip5,정상,사용중,5등급,Y,110000,86174,29.6,1
202505,CUST0049,M,10대,2023-08-07,0000-00-00,왓챠 초이스 스페셜,iPhone SE,정상,사용중,1등급,Y,110000,78806,27.4,1
202505,CUST0050,F,50대,2024-06-07,0000-00-00,지니 초이스 베이직,Galaxy Z Flip5,일시정지,해외 장기 출장,4등급,Y,90000,65736,21,1
202503,CUST0051,M,30대,2024-07-17,2025-04-14,디즈니+ 초이스 스페셜,Galaxy A32,해지,단순 해지 요청,5등급,N,110000,83798,28.3,0
202504,CUST0052,M,50대,2022-07-26,0000-00-00,넷플릭스 초이스 베이직,iPhone SE,정상,사용중,4등급,Y,90000,67393,19.7,1
202504,CUST0053,M,50대,2022-11-06,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy A32,정상,사용중,4등급,N,90000,65146,22.3,1
202503,CUST0054,M,10대,2023-05-11,0000-00-00,왓챠 초이스 베이직,iPhone 14,정상,사용중,4등급,Y,90000,67018,19.2,1
202503,CUST0055,M,20대,2021-01-30,0000-00-00,지니 초이스 스페셜,Galaxy A32,정상,사용중,5등급,N,110000,82843,33.7,1
202503,CUST0056,M,40대,2022-09-30,0000-00-00,넷플릭스 초이스 베이직,Galaxy Z Flip5,정상,사용중,4등급,Y,90000,64697,14.4,1
202504,CUST0057,M,10대,2024-08-26,2025-03-26,디즈니+ 초이스 프리미엄,LG Wing,해지,단순 해지 요청,4등급,Y,130000,87866,40.5,0
202504,CUST0058,F,20대,2022-10-01,0000-00-00,왓챠 초이스 스페셜,Galaxy S22,일시정지,해외 장기 출장,3등급,Y,110000,78681,28.7,1
202503,CUST0059,F,10대,2021-01-03,2023-08-24,유튜브 프리미엄 초이스 베이직,LG Wing,해지,서비스 품질 문제,3등급,N,90000,66850,19,0
202504,CUST0060,M,20대,2021-06-29,0000-00-00,디즈니+ 초이스 프리미엄,iPhone SE,일시정지,사용 중단 예정,3등급,Y,130000,81277,59.2,1
202505,CUST0061,F,20대,2024-08-09,0000-00-00,지니 초이스 프리미엄,iPhone 14,정상,사용중,3등급,Y,130000,88142,58.6,1
202505,CUST0062,F,60대 이상,2024-12-19,0000-00-00,넷플릭스 초이스 스페셜,iPhone 14,일시정지,일시적인 요금 부담,1등급,Y,110000,83004,28.3,1
202504,CUST0063,F,20대,2022-12-20,0000-00-00,지니 초이스 스페셜,iPhone SE,일시정지,일시적인 요금 부담,5등급,Y,110000,83304,30.6,1
202503,CUST0064,M,20대,2024-03-03,2025-01-27,넷플릭스 초이스 스페셜,Galaxy Z Flip5,해지,요금 불만,3등급,Y,110000,85331,27.1,0
202505,CUST0065,F,30대,2022-09-16,0000-00-00,디즈니+ 초이스 베이직,Galaxy A32,정상,사용중,1등급,Y,90000,65432,21.7,1
202503,CUST0066,F,40대,2023-04-24,0000-00-00,지니 초이스 프리미엄,iPhone SE,일시정지,사용 중단 예정,3등급,N,130000,81096,44.2,1
202503,CUST0067,M,30대,2021-10-21,0000-00-00,넷플릭스 초이스 스페셜,iPhone 14,일시정지,일시적인 요금 부담,1등급,Y,110000,85004,28.8,1
202503,CUST0068,F,50대,2022-06-09,0000-00-00,왓챠 초이스 프리미엄,iPhone 14,정상,사용중,4등급,Y,130000,81467,58.2,1
202505,CUST0069,F,40대,2023-06-14,2024-10-13,디즈니+ 초이스 프리미엄,Galaxy S22,해지,서비스 품질 문제,4등급,N,130000,81901,47.7,0
202505,CUST0070,F,20대,2022-10-26,0000-00-00,왓챠 초이스 스페셜,Galaxy A32,일시정지,일시적인 요금 부담,3등급,N,110000,84597,33.4,1
202503,CUST0071,M,20대,2024-12-03,2024-01-10,지니 초이스 베이직,iPhone SE,해지,요금 불만,5등급,Y,90000,66663,13.9,0
202504,CUST0072,M,20대,2021-04-23,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy Z Flip5,일시정지,일시적인 요금 부담,4등급,Y,90000,65583,24.7,1
202505,CUST0073,F,30대,2022-12-06,0000-00-00,TVING 초이스 프리미엄,Galaxy A32,정상,사용중,3등급,Y,130000,83592,48,1
202505,CUST0074,M,30대,2021-12-06,0000-00-00,지니 초이스 베이직,LG Wing,정상,사용중,1등급,Y,90000,64616,19.8,1
202504,CUST0075,M,50대,2022-04-11,2024-02-28,유튜브 프리미엄 초이스 스페셜,iPhone 14,해지,장기 미사용,1등급,N,110000,78673,25.9,0
202503,CUST0076,F,50대,2021-10-29,0000-00-00,왓챠 초이스 베이직,iPhone 14,일시정지,단말기 분실,4등급,N,90000,68863,20.6,1
202505,CUST0077,F,60대 이상,2022-10-06,0000-00-00,TVING 초이스 스페셜,iPhone 14,정상,사용중,4등급,Y,110000,85577,26.8,1
202505,CUST0078,F,40대,2025-03-15,2023-03-28,TVING 초이스 베이직,Galaxy A32,해지,요금 불만,5등급,Y,90000,66696,18.1,0
202503,CUST0079,F,20대,2021-06-17,2022-11-18,넷플릭스 초이스 베이직,LG Wing,해지,서비스 품질 문제,3등급,Y,90000,65496,11.5,0
202505,CUST0080,M,20대,2024-02-04,2023-03-06,TVING 초이스 프리미엄,iPhone SE,해지,장기 미사용,4등급,Y,130000,83859,47,0
202505,CUST0081,M,50대,2025-03-19,2023-02-06,지니 초이스 베이직,Galaxy S22,해지,장기 미사용,4등급,Y,90000,70217,17.5,0
202503,CUST0082,M,50대,2022-12-24,0000-00-00,TVING 초이스 베이직,iPhone SE,일시정지,일시적인 요금 부담,4등급,Y,90000,67556,19.3,1
202505,CUST0083,F,60대 이상,2022-09-21,2024-02-24,유튜브 프리미엄 초이스 프리미엄,iPhone 14,해지,장기 미사용,1등급,N,130000,88595,42.2,0
202505,CUST0084,M,10대,2021-12-18,2025-01-01,유튜브 프리미엄 초이스 프리미엄,Galaxy S22,해지,타사로 이동,3등급,Y,130000,85494,47,0
202505,CUST0085,M,30대,2024-12-11,2023-10-06,왓챠 초이스 프리미엄,iPhone 14,해지,타사로 이동,3등급,Y,130000,88113,51.2,0
202505,CUST0086,F,30대,2024-11-13,2023-08-06,TVING 초이스 베이직,Galaxy A32,해지,장기 미사용,1등급,Y,90000,70105,16.9,0
202505,CUST0087,F,20대,2021-03-14,0000-00-00,지니 초이스 프리미엄,Galaxy A32,정상,사용중,5등급,N,130000,85910,46.3,1
202503,CUST0088,M,60대 이상,2022-07-09,2024-07-15,지니 초이스 프리미엄,iPhone 14,해지,요금 불만,4등급,Y,130000,81039,43.9,0
202504,CUST0089,M,10대,2021-09-04,0000-00-00,TVING 초이스 프리미엄,Galaxy A32,일시정지,해외 장기 출장,4등급,Y,130000,85781,57.8,1
202505,CUST0090,F,60대 이상,2021-10-28,0000-00-00,디즈니+ 초이스 스페셜,Galaxy S22,일시정지,사용 중단 예정,2등급,Y,110000,86342,34.7,1
202505,CUST0091,F,30대,2022-06-12,0000-00-00,디즈니+ 초이스 스페셜,Galaxy S22,정상,사용중,1등급,Y,110000,81142,33.3,1
202505,CUST0092,M,20대,2020-11-07,0000-00-00,왓챠 초이스 프리미엄,Galaxy S22,일시정지,단말기 분실,4등급,Y,130000,83965,58.5,1
202505,CUST0093,F,10대,2020-12-17,0000-00-00,TVING 초이스 프리미엄,Galaxy Z Flip5,일시정지,사용 중단 예정,2등급,Y,130000,85715,59.2,1
202505,CUST0094,F,60대 이상,2024-03-19,0000-00-00,지니 초이스 베이직,Galaxy A32,일시정지,일시적인 요금 부담,5등급,Y,90000,64582,12.6,1
202504,CUST0095,M,40대,2025-03-03,0000-00-00,지니 초이스 프리미엄,iPhone SE,정상,사용중,4등급,Y,130000,86193,56.2,1
202504,CUST0096,F,30대,2024-07-26,2023-12-23,TVING 초이스 스페셜,iPhone SE,해지,서비스 품질 문제,2등급,Y,110000,79409,38.2,0
202503,CUST0097,F,50대,2020-09-09,2025-02-15,지니 초이스 베이직,Galaxy Z Flip5,해지,타사로 이동,4등급,Y,90000,66815,11,0
202503,CUST0098,M,30대,2022-05-03,0000-00-00,왓챠 초이스 프리미엄,iPhone SE,정상,사용중,5등급,Y,130000,85340,47.9,1
202503,CUST0099,M,50대,2024-01-13,2024-08-10,TVING 초이스 스페셜,Galaxy A32,해지,타사로 이동,4등급,Y,110000,81711,28.7,0
202503,CUST0100,F,20대,2020-09-09,0000-00-00,디즈니+ 초이스 스페셜,LG Wing,정상,사용중,5등급,Y,110000,81155,33.6,1
202504,CUST0101,F,60대 이상,2023-12-04,2023-01-14,유튜브 프리미엄 초이스 프리미엄,iPhone SE,해지,서비스 품질 문제,1등급,N,130000,85243,53.8,0
202505,CUST0102,M,60대 이상,2023-07-15,2024-03-12,TVING 초이스 베이직,iPhone SE,해지,단순 해지 요청,2등급,N,90000,66482,18.3,0
202503,CUST0103,F,30대,2022-10-07,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy A32,정상,사용중,2등급,Y,90000,64661,14.4,1
202503,CUST0104,F,50대,2025-02-22,0000-00-00,디즈니+ 초이스 프리미엄,iPhone SE,정상,사용중,5등급,N,130000,81179,50.5,1
202503,CUST0105,F,50대,2020-12-08,0000-00-00,유튜브 프리미엄 초이스 스페셜,Galaxy S22,정상,사용중,3등급,Y,110000,85838,31.5,1
202503,CUST0106,M,60대 이상,2022-01-25,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy S22,정상,사용중,4등급,N,130000,86393,55.5,1
202503,CUST0107,M,50대,2023-11-27,0000-00-00,디즈니+ 초이스 스페셜,iPhone SE,정상,사용중,3등급,Y,110000,80009,28.8,1
202503,CUST0108,M,10대,2024-06-20,2024-06-27,디즈니+ 초이스 프리미엄,iPhone 14,해지,요금 불만,1등급,N,130000,81024,56.9,0
202503,CUST0109,F,40대,2021-01-30,0000-00-00,지니 초이스 스페셜,Galaxy Z Flip5,일시정지,해외 장기 출장,1등급,Y,110000,86518,25,1
202504,CUST0110,M,40대,2023-03-11,0000-00-00,넷플릭스 초이스 스페셜,Galaxy Z Flip5,정상,사용중,1등급,N,110000,80380,31.2,1
202505,CUST0111,F,10대,2025-02-02,0000-00-00,지니 초이스 스페셜,Galaxy S22,일시정지,해외 장기 출장,4등급,N,110000,79285,25.2,1
202504,CUST0112,M,40대,2020-09-19,0000-00-00,왓챠 초이스 스페셜,iPhone SE,일시정지,사용 중단 예정,4등급,Y,110000,82522,30.5,1
202504,CUST0113,F,40대,2025-03-11,0000-00-00,디즈니+ 초이스 베이직,Galaxy S22,정상,사용중,1등급,Y,90000,64337,17.8,1
202503,CUST0114,M,50대,2022-09-17,0000-00-00,지니 초이스 프리미엄,LG Wing,일시정지,해외 장기 출장,1등급,Y,130000,83978,43.7,1
202505,CUST0115,M,50대,2025-01-21,2023-12-19,디즈니+ 초이스 베이직,iPhone 14,해지,단순 해지 요청,1등급,N,90000,69027,19.3,0
202504,CUST0116,F,50대,2020-09-17,0000-00-00,지니 초이스 베이직,iPhone 14,일시정지,일시적인 요금 부담,1등급,Y,90000,67750,10.4,1
202505,CUST0117,M,10대,2021-05-11,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy Z Flip5,일시정지,단말기 분실,2등급,N,90000,66594,13.1,1
202505,CUST0118,F,60대 이상,2024-04-07,0000-00-00,유튜브 프리미엄 초이스 스페셜,iPhone 14,정상,사용중,3등급,Y,110000,82809,38.7,1
202503,CUST0119,M,20대,2022-05-25,0000-00-00,왓챠 초이스 스페셜,Galaxy S22,일시정지,사용 중단 예정,4등급,Y,110000,82011,32.5,1
202504,CUST0120,F,40대,2022-09-01,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,정상,사용중,5등급,N,90000,64748,24.8,1
202505,CUST0121,F,50대,2025-04-17,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy A32,정상,사용중,3등급,Y,90000,70337,17.5,1
202505,CUST0122,F,10대,2024-05-25,0000-00-00,유튜브 프리미엄 초이스 프리미엄,iPhone 14,일시정지,단말기 분실,1등급,Y,130000,87974,59.1,1
202504,CUST0123,M,60대 이상,2025-05-23,0000-00-00,지니 초이스 프리미엄,Galaxy S22,정상,사용중,3등급,Y,130000,87418,57.5,1
202503,CUST0124,M,60대 이상,2022-12-27,2024-01-12,TVING 초이스 프리미엄,LG Wing,해지,요금 불만,1등급,Y,130000,88522,42.9,0
202505,CUST0125,M,30대,2022-06-07,0000-00-00,디즈니+ 초이스 프리미엄,LG Wing,일시정지,일시적인 요금 부담,2등급,Y,130000,83509,42.1,1
202505,CUST0126,F,20대,2020-12-30,0000-00-00,지니 초이스 베이직,Galaxy S22,일시정지,일시적인 요금 부담,2등급,Y,90000,70067,13.8,1
202504,CUST0127,F,30대,2022-11-04,0000-00-00,왓챠 초이스 스페셜,Galaxy Z Flip5,일시정지,단말기 분실,2등급,N,110000,83785,36.7,1
202505,CUST0128,M,10대,2022-09-27,0000-00-00,지니 초이스 프리미엄,Galaxy S22,일시정지,단말기 분실,4등급,N,130000,88195,45.5,1
202503,CUST0129,F,60대 이상,2023-04-07,2023-07-10,왓챠 초이스 베이직,Galaxy S22,해지,장기 미사용,5등급,N,90000,70610,21,0
202503,CUST0130,M,30대,2022-11-02,0000-00-00,디즈니+ 초이스 스페셜,Galaxy A32,정상,사용중,5등급,Y,110000,86442,26.4,1
202503,CUST0131,F,40대,2022-05-04,0000-00-00,왓챠 초이스 스페셜,LG Wing,일시정지,해외 장기 출장,3등급,N,110000,84363,38.5,1
202503,CUST0132,M,20대,2024-02-21,0000-00-00,TVING 초이스 프리미엄,Galaxy A32,정상,사용중,3등급,Y,130000,83622,50.8,1
202505,CUST0133,M,50대,2021-07-05,2024-03-08,왓챠 초이스 베이직,Galaxy S22,해지,요금 불만,3등급,Y,90000,66168,16.4,0
202503,CUST0134,F,60대 이상,2021-08-31,0000-00-00,넷플릭스 초이스 베이직,iPhone 14,정상,사용중,2등급,Y,90000,69825,17.8,1
202505,CUST0135,F,20대,2023-08-22,0000-00-00,넷플릭스 초이스 프리미엄,LG Wing,일시정지,일시적인 요금 부담,2등급,Y,130000,81457,59.6,1
202504,CUST0136,M,30대,2020-11-09,0000-00-00,왓챠 초이스 스페셜,Galaxy S22,정상,사용중,3등급,Y,110000,85754,35.3,1
202504,CUST0137,M,20대,2021-04-23,0000-00-00,TVING 초이스 스페셜,Galaxy Z Flip5,일시정지,일시적인 요금 부담,5등급,Y,110000,84394,36.8,1
202505,CUST0138,M,60대 이상,2021-09-15,0000-00-00,지니 초이스 스페셜,LG Wing,정상,사용중,1등급,Y,110000,79043,37.9,1
202505,CUST0139,F,50대,2023-05-25,0000-00-00,지니 초이스 베이직,iPhone 14,정상,사용중,4등급,Y,90000,70189,13.5,1
202505,CUST0140,M,40대,2025-04-21,0000-00-00,지니 초이스 스페셜,Galaxy S22,정상,사용중,4등급,N,110000,83679,37.3,1
202503,CUST0141,F,40대,2023-01-15,0000-00-00,TVING 초이스 베이직,iPhone SE,정상,사용중,2등급,N,90000,66027,23.3,1
202504,CUST0142,F,30대,2022-08-16,0000-00-00,유튜브 프리미엄 초이스 베이직,LG Wing,정상,사용중,2등급,Y,90000,67437,11.4,1
202505,CUST0143,M,20대,2025-01-29,2022-11-19,왓챠 초이스 스페셜,iPhone SE,해지,단순 해지 요청,5등급,Y,110000,84005,39.9,0
202503,CUST0144,M,40대,2023-09-08,2024-10-18,TVING 초이스 프리미엄,Galaxy S22,해지,서비스 품질 문제,2등급,Y,130000,84777,50.3,0
202503,CUST0145,M,50대,2021-08-23,0000-00-00,디즈니+ 초이스 베이직,Galaxy S22,정상,사용중,3등급,N,90000,66812,14.8,1
202503,CUST0146,F,60대 이상,2021-01-07,0000-00-00,왓챠 초이스 프리미엄,Galaxy S22,일시정지,일시적인 요금 부담,4등급,Y,130000,81244,52.2,1
202504,CUST0147,M,10대,2023-02-13,0000-00-00,왓챠 초이스 스페셜,LG Wing,정상,사용중,2등급,N,110000,79873,30.7,1
202505,CUST0148,M,60대 이상,2022-07-31,0000-00-00,유튜브 프리미엄 초이스 프리미엄,iPhone SE,정상,사용중,5등급,N,130000,80845,41.7,1
202505,CUST0149,M,40대,2024-11-24,0000-00-00,왓챠 초이스 스페셜,iPhone SE,일시정지,사용 중단 예정,4등급,Y,110000,80766,39.3,1
202503,CUST0150,M,30대,2024-03-19,0000-00-00,TVING 초이스 스페셜,iPhone 14,일시정지,일시적인 요금 부담,4등급,Y,110000,78441,37.5,1
202505,CUST0151,F,20대,2025-02-07,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy S22,정상,사용중,4등급,Y,90000,66924,18.2,1
202504,CUST0152,F,60대 이상,2023-05-15,0000-00-00,지니 초이스 베이직,Galaxy S22,정상,사용중,3등급,Y,90000,68515,13,1
202503,CUST0153,F,30대,2022-07-07,2023-04-30,TVING 초이스 스페셜,iPhone 14,해지,단순 해지 요청,5등급,Y,110000,86312,33.1,0
202503,CUST0154,M,20대,2024-05-17,0000-00-00,왓챠 초이스 프리미엄,Galaxy A32,정상,사용중,4등급,Y,130000,86977,45.6,1
202503,CUST0155,F,40대,2020-07-12,2023-04-29,유튜브 프리미엄 초이스 프리미엄,Galaxy S22,해지,요금 불만,1등급,Y,130000,86164,43,0
202505,CUST0156,F,10대,2024-10-09,0000-00-00,왓챠 초이스 베이직,Galaxy S22,일시정지,일시적인 요금 부담,3등급,Y,90000,65906,22.9,1
202505,CUST0157,M,30대,2023-10-06,0000-00-00,TVING 초이스 프리미엄,Galaxy S22,일시정지,일시적인 요금 부담,3등급,Y,130000,87185,58.9,1
202504,CUST0158,F,40대,2024-04-19,2023-06-15,TVING 초이스 프리미엄,Galaxy S22,해지,서비스 품질 문제,2등급,Y,130000,85010,51.4,0
202505,CUST0159,F,40대,2024-06-26,0000-00-00,유튜브 프리미엄 초이스 베이직,iPhone SE,정상,사용중,2등급,Y,90000,69635,18.7,1
202505,CUST0160,M,20대,2024-06-13,0000-00-00,TVING 초이스 프리미엄,Galaxy S22,일시정지,사용 중단 예정,4등급,Y,130000,85808,42.3,1
202504,CUST0161,F,60대 이상,2020-11-09,2023-11-08,유튜브 프리미엄 초이스 스페셜,iPhone 14,해지,장기 미사용,1등급,Y,110000,86427,33,0
202505,CUST0162,M,30대,2024-09-06,0000-00-00,넷플릭스 초이스 스페셜,LG Wing,일시정지,사용 중단 예정,3등급,Y,110000,81029,26.4,1
202504,CUST0163,M,30대,2024-11-22,0000-00-00,지니 초이스 프리미엄,iPhone SE,정상,사용중,2등급,N,130000,87666,52.9,1
202504,CUST0164,F,20대,2021-03-28,2023-04-22,TVING 초이스 스페셜,iPhone 14,해지,장기 미사용,5등급,Y,110000,82892,30.9,0
202504,CUST0165,F,40대,2021-03-26,0000-00-00,TVING 초이스 스페셜,LG Wing,정상,사용중,2등급,Y,110000,78478,27,1
202504,CUST0166,M,30대,2023-04-28,2023-09-01,지니 초이스 스페셜,Galaxy S22,해지,단순 해지 요청,2등급,N,110000,79459,26.2,0
202504,CUST0167,F,40대,2021-08-11,2023-05-30,디즈니+ 초이스 스페셜,Galaxy A32,해지,장기 미사용,3등급,N,110000,81379,25.8,0
202505,CUST0168,M,30대,2020-12-23,0000-00-00,넷플릭스 초이스 스페셜,iPhone 14,정상,사용중,2등급,Y,110000,83609,36.8,1
202505,CUST0169,M,40대,2021-01-30,2024-06-22,넷플릭스 초이스 프리미엄,iPhone SE,해지,요금 불만,1등급,N,130000,83303,46.7,0
202503,CUST0170,F,40대,2023-06-09,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,정상,사용중,1등급,Y,90000,70546,22.3,1
202503,CUST0171,F,50대,2023-08-07,0000-00-00,넷플릭스 초이스 프리미엄,iPhone SE,일시정지,해외 장기 출장,2등급,Y,130000,86227,41.1,1
202505,CUST0172,M,50대,2022-02-08,2024-03-26,TVING 초이스 스페셜,iPhone SE,해지,타사로 이동,3등급,Y,110000,86326,29.1,0
